Date,Open,High,Low,Close,Adj Close,Volume,,Periodic Daily Return,Random Value,Next Days Price,Difference,Percent Difference,,
2021-06-17,2413.949951,2450.449951,2410,2434.870117,2434.870117,1292100,,0.00800783,0.005707857,2452.729423,-49.61089216,2.016968941,,
2021-06-18,2427.340088,2432.060059,2400.300049,2402.219971,2402.219971,2305800,,-0.013500117,0.030250035,2479.96269,-50.50945151,2.080740598,,
2021-06-21,2410.01001,2440,2397.969971,2436.25,2436.25,1370700,,0.014066674,-0.005001804,2427.97688,-43.71268997,1.77830752,,
2021-06-22,2435,2448,2421.280029,2446.610107,2446.610107,1119500,,0.004243465,0.028789482,2522.10306,18.63322744,0.764504869,,
2021-06-23,2441.870117,2461.909912,2436.689941,2442.540039,2442.540039,957400,,-0.001664939,-0.001217741,2443.474346,-79.56302131,3.20518594,,
2021-06-24,2454,2461.110107,2446,2450,2450,1068100,,0.003049527,-0.008731001,2432.591638,6.525654288,0.26670843,,
2021-06-25,2440,2452.659912,2431.300049,2450.169922,2450.169922,1729700,,6.93535E-05,-0.015720841,2415.815038,17.57828409,0.720014028,,
2021-06-28,2453.570068,2455.699951,2428.110107,2450.719971,2450.719971,1426300,,0.000224469,-0.001135897,2451.858068,34.90493334,1.434488123,,
2021-06-29,2453.409912,2460.419922,2433.820068,2445.449951,2445.449951,1155400,,-0.002152712,0.012695374,2480.660095,-6.408117414,0.261699586,,
2021-06-30,2439.889893,2445.139893,2427.090088,2441.790039,2441.790039,1223700,,-0.001497742,0.018806128,2492.129843,-38.87005561,1.57929708,,
2021-07-01,2434.5,2451.73999,2430.629883,2448.889893,2448.889893,905500,,0.002903424,0.007771306,2471.947511,-43.23995008,1.750243974,,
2021-07-02,2463,2508.080078,2461.189941,2505.149902,2505.149902,1299100,,0.022713757,0.009768158,2533.791796,33.20239108,1.334207002,,
2021-07-06,2512.969971,2528.560059,2491.649902,2523.800049,2523.800049,1320200,,0.007417148,-0.023086645,2470.150943,-9.991746618,0.395118741,,
2021-07-07,2543.23999,2545.679932,2523.060059,2529.47998,2529.47998,1203000,,0.002248018,-0.011494013,2504.57713,59.32903707,2.373336672,,
2021-07-08,2480.52002,2511.909912,2480.439941,2500.879883,2500.879883,1189500,,-0.011371117,0.003046944,2512.528835,-3.697246874,0.147728644,,
2021-07-09,2500.5,2514.689941,2491.030029,2510.370117,2510.370117,931600,,0.003787576,0.016444495,2556.080108,-2.158717987,0.085955063,,
2021-07-12,2523.560059,2541.389893,2512.219971,2539.51001,2539.51001,883400,,0.011540954,-0.026997248,2475.826024,-16.57009789,0.650370124,,
2021-07-13,2540.77002,2561.149902,2533.48999,2546.830078,2546.830078,962000,,0.002878326,0.008768014,2573.37348,71.00405417,2.827350817,,
2021-07-14,2559.159912,2586.530029,2558.290039,2564.73999,2564.73999,1187100,,0.007007626,0.002988301,2576.535298,-8.633489861,0.3360568,,
2021-07-15,2572.97998,2574,2530.600098,2540.100098,2540.100098,1210900,,-0.009653616,0.01791509,2590.1577,-36.43519958,1.424185886,,
2021-07-16,2553.26001,2556.22998,2523.070068,2539.399902,2539.399902,1021200,,-0.000275695,0.015140685,2582.269495,-50.7577977,1.979032175,,
2021-07-19,2521.790039,2524.100098,2470.100098,2491.560059,2491.560059,1398400,,-0.01901875,0.003840896,2505.153782,-90.70943612,3.575580739,,
2021-07-20,2510.550049,2540.860107,2487.01001,2524.189941,2524.189941,1315600,,0.013011152,-0.021180635,2475.245897,19.03615899,0.757003698,,
2021-07-21,2522.669922,2551.919922,2520.469971,2550.97998,2550.97998,1037300,,0.010557395,-0.000807205,2553.003652,75.7340834,3.013556703,,
2021-07-22,2556.879883,2569.659912,2549.97998,2568.429932,2568.429932,715100,,0.0068172,0.018781752,2621.316638,15.42628016,0.602420393,,
2021-07-23,2608.610107,2667.97998,2596.01001,2660.300049,2660.300049,2075300,,0.035144126,-0.007712978,2644.087781,38.98341071,1.476192349,,
2021-07-26,2666.570068,2684.73999,2646.030029,2680.699951,2680.699951,1528600,,0.007639019,-0.022467564,2625.340376,36.61216999,1.375159793,,
2021-07-27,2685.01001,2687.97998,2602.080078,2638,2638,2735500,,-0.016056882,0.000376924,2643.220766,12.65962442,0.481049049,,
2021-07-28,2726.23999,2765.939941,2705.550049,2721.879883,2721.879883,4756500,,0.031301721,0.004994385,2739.88882,78.65911744,2.932251326,,
2021-07-29,2723,2733.219971,2710.860107,2715.550049,2715.550049,1585800,,-0.002328246,-0.015765784,2677.353826,-24.33877087,0.89227545,,
2021-07-30,2700.699951,2706.090088,2685.100098,2694.530029,2694.530029,1278200,,-0.007770726,-0.00329986,2689.954087,17.17620305,0.639485272,,
2021-08-02,2702.340088,2706.72998,2675.879883,2697.090088,2697.090088,1081700,,0.000949644,0.015940595,2744.816502,7.13600063,0.264931951,,
2021-08-03,2702.699951,2714.639893,2666.389893,2712.600098,2712.600098,1038100,,0.005734174,-0.003595545,2707.192876,-32.21640416,1.180646688,,
2021-08-04,2706.98999,2712.98999,2689.73999,2702.51001,2702.51001,983800,,-0.003726646,-0.002167445,2700.977412,-4.68286557,0.173128383,,
2021-08-05,2713.610107,2727,2696.919922,2725.030029,2725.030029,893500,,0.008298473,-0.021869405,2670.351805,24.05261733,0.886567797,,
2021-08-06,2720.840088,2729.449951,2704.199951,2714.77002,2714.77002,1023700,,-0.003772205,0.013397578,2755.792343,44.41821534,1.649664271,,
2021-08-09,2718.850098,2743.679932,2706.790039,2738.26001,2738.26001,888000,,0.008615443,0.010227155,2770.838615,-17.5323332,0.638229564,,
2021-08-10,2746.840088,2755.449951,2727.290039,2736.139893,2736.139893,970700,,-0.000774557,-0.0016539,2735.99292,-34.69872227,1.260172787,,
2021-08-11,2743.629883,2753.649902,2725.429932,2725.580078,2725.580078,767600,,-0.003866851,0.006998506,2749.117544,-10.41284166,0.381312917,,
2021-08-12,2719.51001,2746,2708.51001,2743.879883,2743.879883,825300,,0.006691656,0.003884479,2758.970482,-5.237660963,0.190703201,,
2021-08-13,2745,2757.129883,2740.659912,2754.550049,2754.550049,797000,,0.003881173,9.92871E-05,2759.235304,-4.420433345,0.160348849,,
2021-08-16,2750.5,2767.25,2705.97998,2766.189941,2766.189941,1119200,,0.004216793,0.027209193,2847.04119,6.954637138,0.251732195,,
2021-08-17,2755,2765.310059,2721.639893,2733.22998,2733.22998,1085800,,-0.011986848,-0.002763732,2730.05158,-113.8112104,4.079056624,,
2021-08-18,2730,2742.090088,2706.429932,2708.97998,2708.97998,962900,,-0.00891188,-0.004565196,2700.959714,-21.07160049,0.774829131,,
2021-08-19,2688.709961,2727.050049,2685,2713.600098,2713.600098,1089100,,0.00170403,0.008057088,2739.933015,12.64038368,0.466903465,,
2021-08-20,2720,2751.080078,2705,2748.590088,2748.590088,1558600,,0.012811882,-0.009383338,2727.280421,8.657072554,0.315460913,,
2021-08-23,2759.389893,2817.48999,2752.149902,2800.830078,2800.830078,1422700,,0.018827745,-0.008463908,2781.671773,73.54965668,2.660932942,,
2021-08-24,2812.22998,2841.600098,2806.77002,2825.22998,2825.22998,963400,,0.00867394,0.038668075,2941.318727,43.55820665,1.553735327,,
2021-08-25,2832.5,2843.790039,2827.52002,2841.580078,2841.580078,792400,,0.005770493,0.009355453,2872.882551,-99.73864938,3.449434366,,
2021-08-26,2835,2848.350098,2827.139893,2828.810059,2828.810059,1030500,,-0.004504114,0.010269983,2862.588584,-44.07249241,1.545944176,,
2021-08-27,2833.050049,2890.25,2829.939941,2880.080078,2880.080078,1438600,,0.017961949,-0.005298751,2869.44758,17.49149411,0.609176504,,
2021-08-30,2888,2919.409912,2883.26001,2891.810059,2891.810059,1221700,,0.004064525,-0.006065952,2878.924697,22.36247908,0.776305469,,
2021-08-31,2902.939941,2903.429932,2885.620117,2893.949951,2893.949951,1122400,,0.00073971,-0.001311482,2894.785556,15.02525439,0.520546705,,
2021-09-01,2900,2925.080078,2897.669922,2904.310059,2904.310059,1096800,,0.003573527,-0.003784719,2897.972415,9.524502874,0.328482353,,
2021-09-02,2904.320068,2910.389893,2863.699951,2865.73999,2865.73999,1617100,,-0.013369258,-0.01315131,2832.827914,-32.23242455,1.118460544,,
2021-09-03,2861.610107,2883.100098,2848.01001,2874.790039,2874.790039,992500,,0.003153039,0.008106075,2902.82935,41.96212501,1.470390112,,
2021-09-07,2876.689941,2891.300049,2872.379883,2885.610107,2885.610107,1006200,,0.003756711,-0.012124146,2855.40129,-17.21924342,0.594952873,,
2021-09-08,2882,2888,2860,2873.820068,2873.820068,917200,,-0.004094174,0.002176843,2884.695086,18.41877771,0.642976647,,
2021-09-09,2876.810059,2886.209961,2863.550049,2870.820068,2870.820068,765700,,-0.001044452,-0.01267985,2839.187897,-13.87501807,0.482146869,,
2021-09-10,2884.25,2894.370117,2814.76001,2817.52002,2817.52002,1840700,,-0.018740654,0.001118488,2825.19035,-21.66787721,0.766094963,,
2021-09-13,2838.98999,2859,2825,2846.649902,2846.649902,1104700,,0.010285757,0.008894544,2876.68203,21.45955169,0.756705081,,
2021-09-14,2859.909912,2867.26001,2835,2850.889893,2850.889893,983700,,0.001488359,0.010141994,2884.562856,-25.79213659,0.900630736,,
2021-09-15,2855.429932,2889.01001,2826.949951,2888.590088,2888.590088,1370400,,0.013137336,0.01773092,2944.972934,4.02723196,0.139515859,,
2021-09-16,2879.01001,2886,2848.030029,2872.199951,2872.199951,1309500,,-0.005690255,-0.002433954,2869.806193,-72.77298339,2.502005178,,
2021-09-17,2860.610107,2869,2809.399902,2816,2816,2669200,,-0.019760831,-0.003608238,2810.350991,-53.80619256,1.892649547,,
2021-09-20,2763.22998,2780,2726.439941,2774.389893,2774.389893,2325900,,-0.014886574,-0.02775944,2702.754956,-35.96109758,1.287834058,,
2021-09-21,2794.98999,2800.22998,2765.560059,2780.659912,2780.659912,1266600,,0.002257413,0.004584067,2797.90949,77.90495573,2.84147589,,
2021-09-22,2786.080078,2817.73999,2771.030029,2805.669922,2805.669922,1252800,,0.008954064,-0.017466453,2761.505693,7.760431536,0.276981228,,
2021-09-23,2819.75,2833.929932,2808.030029,2824.320068,2824.320068,1047600,,0.00662531,0.004621572,2841.947072,62.81437502,2.249063172,,
2021-09-24,2810.77002,2846.610107,2804.820068,2844.300049,2844.300049,1149200,,0.007049357,0.017012775,2897.736648,2.352977062,0.082760281,,
2021-09-27,2816.090088,2838.77002,2801.350098,2821.439941,2821.439941,1094100,,-0.008069637,-0.007778356,2804.062332,-76.29670719,2.668101116,,
2021-09-28,2773.100098,2781.929932,2707.199951,2716.600098,2716.600098,2288600,,-0.037866238,-0.030107655,2640.250138,-87.4622341,3.168541283,,
2021-09-29,2739.600098,2743.02002,2677.300049,2687.070068,2687.070068,1542400,,-0.010929729,0.024723446,2758.742707,46.81992998,1.757729146,,
2021-09-30,2685.22998,2710.850098,2671.120117,2673.52002,2673.52002,1899800,,-0.005055442,-0.005121699,2664.121733,-85.22268737,3.137649692,,
2021-10-01,2688.949951,2738.209961,2681.459961,2730.860107,2730.860107,1768000,,0.021220653,-0.014489579,2695.886845,66.73837354,2.474090758,,
2021-10-04,2719.209961,2719.209961,2621,2673.189941,2673.189941,2560100,,-0.021344123,-0.00703159,2658.710117,-22.69690368,0.845467651,,
